scope,group,column,description,unit,source
groundwaterwell,Groundwater Wells,gw_well_id,groundwater well identifier (corresponds to the ID provided by the British Geological Survey),-,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,gw_well_lat,groundwater well latitude,°,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,gw_well_lon,groundwater well longitude,°,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,gw_well_name,groundwater well name,-,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,gw_well_northing,groundwater well northing,m,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,Groundwater Wells,monthly_gwlevel_perc_complete,percentage of months with groundwater level data,%,Groundwater level timeseries described in Table 4
groundwaterwell,Groundwater Wells,monthly_gwlevel_period_end,end date that monthly groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,-,Groundwater level timeseries described in Table 4
groundwaterwell,Groundwater Wells,monthly_gwlevel_period_start,first date that monthly groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,-,Groundwater level timeseries described in Table 4
humaninfluence,Human Influence Attributes,abs_agriculture_perc,percentage of total (groundwater and surface water) abstractions in catchment for agriculture,%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_amenities_perc,percentage of total (groundwater and surface water) abstractions in catchment for amenities,%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_energy_perc,percentage of total (groundwater and surface water) abstractions in catchment for energy production,%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_environmental_perc,percentage of total (groundwater and surface water) abstractions in catchment for environmental purposes,%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_highloss_perc,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘high loss',%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_industry_perc,"percentage of total (groundwater and surface water) abstractions in catchment for industrial, commercial and public services",%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_lowloss_perc,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘low loss',%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_mediumloss_perc,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘medium loss',%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_verylowloss_perc,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘very low loss',%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,abs_watersupply_perc,percentage of total (groundwater and surface water) abstractions in catchment for water supply,%,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,benchmark_catch,"benchmark catchment (Y indicates the catchment is part of the UK Benchmark Network, while N indicates that it is not)",Y/N,"UK National River Flow Archive; Harrigan et al., (2018)"
humaninfluence,Human Influence Attributes,discharges,mean discharges (daily discharges into water courses from water companies and other discharge permit holders reported to the Environment Agency),mm day-1,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
humaninfluence,Human Influence Attributes,groundwater_abs,mean groundwater abstraction,mm day-1,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,Human Influence Attributes,num_reservoir,number of reservoirs in the catchment,-,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_cap,total storage capacity of reservoirs in the catchment in megalitres,ML,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_contributing_area,percentage of the overall catchment surface area that is drained through reservoirs,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_drain,percentage of total reservoir storage in catchment used for drainage,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_env,percentage of total reservoir storage in catchment used for environmental,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_fs,percentage of total reservoir storage in catchment used for flood storage,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_he,percentage of total reservoir storage in catchment used for hydroelectricty,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_nav,percentage of total reservoir storage in catchment used for navigation,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_normalised_upstream_capacity,ratio of the capacity of a reservoir to the average volume of precipitation received by the catchment in a year,-,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_nousedata,percentage of total reservoir storage in catchment where no use data were available,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_wr,percentage of total reservoir storage in catchment used for water resources,%,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_year_first,year the first reservoir in the catchment was built,-,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,reservoir_year_last,year the last reservoir in the catchment was built,-,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,Human Influence Attributes,surfacewater_abs,mean surface water abstraction,mm day-1,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
hydrogeology,Hydrogeology Attributes,frac_high_perc,flow through fractures - high productivity,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,frac_low_perc,flow through fractures - low productivity,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,frac_mod_perc,flow through fractures - moderate productivity,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
hydrogeology,Hydrogeology Attributes,inter_high_perc,significant intergranular flow - high productivity,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,inter_low_perc,significant intergranular flow - low productivity,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,inter_mod_perc,significant intergranular flow - moderate productivity,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,low_nsig_perc,generally low productivity (intergranular flow) but some not significant aquifer,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,no_gw_perc,rocks with essentially no groundwater,%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,Hydrogeology Attributes,nsig_low_perc,generally not significant aquifer but some low productivity (intergranular flow),%,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Q5,5% flow quantile (low flow),mm day-1,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Q95,95% flow quantile (high flow),mm day-1,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),baseflow_index,"baseflow index (ratio of mean daily baseflow to daily discharge, hydrograph separation performed using the Ladson et al., 2013 digital filter)",-,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),baseflow_index_ceh,"baseflow index (ratio of mean daily baseflow to daily discharge, hydrograph separation performed using the Gustard et al., 1992 method)",-,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),hfd_mean,mean half-flow date (date on which the cumulative discharge since 1 October reaches half of the annual discharge),days since 1st October,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),high_q_dur,average duration of high flow events (number of consecutive days >9 times the median daily flow),days,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),high_q_freq,frequency of high-flow days (> 9 times the median daily flow),days yr-1,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),low_q_dur,average duration of low flow events (number of consecutive days < 0.2 times the mean daily flow),days,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),low_q_freq,frequency of low flow days (< 0.2 times the mean daily flow),days yr-1,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),q_mean,mean daily discharge,mm day-1,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),runoff_ratio,"runoff ratio, calculated as the ratio of mean daily discharge to mean daily precipitation",-,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),slope_fdc,slope of the flow duration curve (between the log-transformed 33rd and 66th streamflow percentiles),-,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),stream_elas,"streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale, using the mean daily discharge as reference)",-,Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),zero_q_freq,frequency of days with Q = 0,%,Catchment timeseries of streamflow and precipitation described in Table 2
hydrometry,Hydrometry,bankfull_flow,flow at which the river begins to overlap the banks at a gauging station (obtained from stage-discharge relationships so may be derived by extrapolation),m3 s-1,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,daily_flow_extrap_dur,the percentage of time (excluding NaNs) that the daily flow timeseries is higher than the maximum gauging flow,%,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,daily_flow_perc_complete,percentage of days with flow time series available from 1st October 1970 - 31st September 2022,%,Catchment timeseries of daily streamflow described in Table 2
hydrometry,Hydrometry,daily_flow_period_end,end date that daily flow time series provided in CAMELS-GB v2 are available for this gauging station,-,Catchment timeseries of daily streamflow described in Table 2
hydrometry,Hydrometry,daily_flow_period_start,first date that daily flow time series provided in CAMELS-GB v2 is available for this gauging station,-,Catchment timeseries of daily streamflow described in Table 2
hydrometry,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
hydrometry,Hydrometry,hourly_flow_extrap_dur,the percentage of time (excluding NaNs) that the hourly flow timeseries is higher than the maximum gauging flow,%,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,hourly_flow_perc_complete,percentage of hours with flow time series available from 1st October 1990 09:00:00 UTC - 1st October 2022 08:00:00 UTC,%,Catchment timeseries of hourly streamflow described in Table 3
hydrometry,Hydrometry,hourly_flow_period_end,end date that hourly flow time series provided in CAMELS-GB v2 are available for this gauging station,-,Catchment timeseries of hourly streamflow described in Table 3
hydrometry,Hydrometry,hourly_flow_period_start,first date that hourly flow time series provided in CAMELS-GB v2 is available for this gauging station,-,Catchment timeseries of hourly streamflow described in Table 3
hydrometry,Hydrometry,max_daily_flow,the maximum daily flow recorded in the daily flow time series times provided in CAMELS-GB v2,m3 s-1,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,max_gauging_flow,the maximum gauging flow - the highest manual measurement of flow taken at a gauging station,m3 s-1,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,max_gauging_flow_date,date and time when the maximum gauging flow was taken,-,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,max_hourly_flow,the maximum hourly flow recorded in the hourly flow time series times provided in CAMELS-GB v2,m3 s-1,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,Hydrometry,q25_uncert_lower,"lower bound of the discharge uncertainty interval for the 25th percentile flow given as a percentage of the 25th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q25_uncert_upper,"upper bound of the discharge uncertainty interval for the 25th percentile flow given as a percentage of the 25th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q50_uncert_lower,"lower bound of the discharge uncertainty interval for the 50th percentile flow given as a percentage of the 50th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q50_uncert_upper,"upper bound of the discharge uncertainty interval for the 50th percentile flow given as a percentage of the 50th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q5_uncert_lower,"lower bound of the discharge uncertainty interval for the 5th percentile flow given as a percentage of the 5th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q5_uncert_upper,"upper bound of the discharge uncertainty interval for the 5th percentile flow given as a percentage of the 5th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q75_uncert_lower,"lower bound of the discharge uncertainty interval for the 75th percentile flow given as a percentage of the 75th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q75_uncert_upper,"upper bound of the discharge uncertainty interval for the 75th percentile flow given as a percentage of the 75th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q95_uncert_lower,"lower bound of the discharge uncertainty interval for the 95th percentile flow given as a percentage of the 95th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q95_uncert_upper,"upper bound of the discharge uncertainty interval for the 95th percentile flow given as a percentage of the 95th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q99_uncert_lower,"lower bound of the discharge uncertainty interval for the 99th percentile flow given as a percentage of the 99th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,q99_uncert_upper,"upper bound of the discharge uncertainty interval for the 99th percentile flow given as a percentage of the 99th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",%,Derived from Coxon et al (2015)
hydrometry,Hydrometry,quncert_meta,metadata describing the reasons why discharge uncertainty estimates are (not) provided; Calculated discharge uncertainties; No stage-discharge measurements available; Less than 20 stage-discharge measurements available for most recent rating; Discharge uncertainty estimates not provided as the estimated uncertainty bounds were deemed to not accurately reflect the discharge uncertainty or because there was no sensible relationship between stage and discharge.,-,Derived from Coxon et al (2015)
hydrometry,Hydrometry,station_quality_hourlyflow_comment,provides a detailed description of any station quality issues found in the hourly flow timeseries,-,Fileni et al (2026)
hydrometry,Hydrometry,station_quality_hourlyflow_issues,"metadata describing if any station quality issues were found in the hourly flow timeseries including no data (no_data), truncated values for entire record (full_truncation) or specific parts of the timeseries (partial_truncation), continuity issues such as abrupt changes in flow regimes or prolonged gaps inconsistent with expected patterns for entire record (full_continuity) or specific parts of the timeseries (partial_continuity), very short periods of data availability prior to main period of record (partial_tracedata), and other issues (full_other_issues or partial_other_issues).",-,Fileni et al (2026)
hydrometry,Hydrometry,station_quality_pooling,"indicates measurement suitability at the station, specifically that flows up to the 3rd highest annual maximum on record are likely to be within 30% of their true values (TRUE indicates the station is suitable for pooling, while FALSE indicates that it is not)",TRUE/ FALSE,UK National River Flow Archive (https://nrfa.ceh.ac.uk/data/about-data/peak-flow-data/indicative-suitabilities)
hydrometry,Hydrometry,station_quality_qmed,"indicates measurement suitability at the station, specifically that flows up to QMED (the median of the annual maximum flows or 1-in-2 year event) are likely to be within 30% of its true value (TRUE indicates the station is suitable for QMED, while FALSE indicates that it is not).",TRUE/ FALSE,UK National River Flow Archive (https://nrfa.ceh.ac.uk/data/about-data/peak-flow-data/indicative-suitabilities)
hydrometry,Hydrometry,station_type,gauging station type denoted by the following abbreviations (B Broad-crested weir; C Crump profile single-crest weir; CB Compound broad-crested weir; CC Compound Crump weir; EM Electromagnetic gauging station; EW Essex weir; FL Flume; FV Flat V triangular profile weir; IV Index Velocity; MIS Miscellaneous; TP Rectangular thin-plate weir; US Ultrasonic gauging station; VA Velocity-area gauging station; VN Triangular (V notch) thin-plate weir); XC Cross Correlation. Two abbreviations may be applied to each station relating to the measurement of low or high flows.,-,UK National River Flow Archive using the NRFA API*
hydrometry,Hydrometry,structurefull_flow,flow at which the river begins to overlap the wingwalls of a structure at a gauging station (obtained from stage-discharge relationships so may be derived by extrapolation),m3 s-1,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
landcover,Land Cover Attributes,bares_perc_1990,percentage cover of bare soil and rocks for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2015,percentage cover of bare soil and rocks for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2017,percentage cover of bare soil and rocks for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2018,percentage cover of bare soil and rocks for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2019,percentage cover of bare soil and rocks for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2020,percentage cover of bare soil and rocks for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2021,percentage cover of bare soil and rocks for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,bares_perc_2022,percentage cover of bare soil and rocks for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_1990,percentage cover of crops for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
