scope,column,dtype,missing,values,unit,description,group,source
hydrologic,Q5,float64,—,0 … 3.75,mm day-1,5% flow quantile (low flow),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,Q95,float64,—,0.35 … 40.03,mm day-1,95% flow quantile (high flow),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,high_q_freq,float64,—,0 … 170.1,days yr-1,frequency of high-flow days (> 9 times the median daily flow),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,high_q_dur,float64,—,0 … 142.2,days,average duration of high flow events (number of consecutive days >9 times the median daily flow),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,low_q_freq,float64,—,0 … 220.8,days yr-1,frequency of low flow days (< 0.2 times the mean daily flow),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,low_q_dur,float64,—,0 … 206.7,days,average duration of low flow events (number of consecutive days < 0.2 times the mean daily flow),Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrologic,zero_q_freq,float64,—,0 … 0.53,%,frequency of days with Q = 0,Hydrologic Signatures (computed for 1st Oct 1970 to 30th Sept 2022),Catchment timeseries of streamflow and precipitation described in Table 2
hydrogeology,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
hydrogeology,inter_high_perc,float64,—,0 … 94.3,%,significant intergranular flow - high productivity,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,inter_mod_perc,float64,—,0 … 92.64,%,significant intergranular flow - moderate productivity,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,inter_low_perc,float64,—,0 … 35.11,%,significant intergranular flow - low productivity,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,frac_high_perc,float64,—,0 … 97.82,%,flow through fractures - high productivity,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,frac_mod_perc,float64,—,0 … 92.89,%,flow through fractures - moderate productivity,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,frac_low_perc,float64,—,0 … 97.73,%,flow through fractures - low productivity,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,no_gw_perc,float64,—,0 … 100,%,rocks with essentially no groundwater,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,low_nsig_perc,float64,—,0 … 18.81,%,generally low productivity (intergranular flow) but some not significant aquifer,Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
hydrogeology,nsig_low_perc,float64,—,0 … 11.65,%,generally not significant aquifer but some low productivity (intergranular flow),Hydrogeology Attributes,"British Geological Survey hydrogeology map (BGS hydrogeology 625k, 2019) and superficial deposits map"
landcover,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
landcover,dwood_perc_1990,float64,—,0 … 37.65,%,percentage cover of deciduous woodland for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_1990,float64,—,0 … 93.56,%,percentage cover of evergreen woodland for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_1990,float64,—,0.1 … 99.27,%,percentage cover of grass and pasture for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_1990,float64,—,0 … 99.9,%,percentage cover of medium scale vegetation (shrubs) for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_1990,float64,—,0 … 89.55,%,percentage cover of crops for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_1990,float64,—,0 … 74.73,%,percentage cover of suburban and urban for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_1990,float64,—,0 … 9.91,%,percentage cover of inland water for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_1990,float64,—,0 … 18.66,%,percentage cover of bare soil and rocks for 1990,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2015,float64,—,0 … 37.75,%,percentage cover of deciduous woodland for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2015,float64,—,0 … 96.17,%,percentage cover of evergreen woodland for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2015,float64,—,0.13 … 99.88,%,percentage cover of grass and pasture for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2015,float64,—,0 … 99.23,%,percentage cover of medium scale vegetation (shrubs) for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2015,float64,—,0 … 89.94,%,percentage cover of crops for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_2015,float64,—,0 … 81.52,%,percentage cover of suburban and urban for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2015,float64,—,0 … 9.96,%,percentage cover of inland water for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2015,float64,—,0 … 22.27,%,percentage cover of bare soil and rocks for 2015,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2017,float64,—,0 … 37.51,%,percentage cover of deciduous woodland for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2017,float64,—,0 … 95.86,%,percentage cover of evergreen woodland for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2017,float64,—,0.41 … 100,%,percentage cover of grass and pasture for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2017,float64,—,0 … 99.28,%,percentage cover of medium scale vegetation (shrubs) for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2017,float64,—,0 … 90.38,%,percentage cover of crops for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_2017,float64,—,0 … 79.89,%,percentage cover of suburban and urban for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2017,float64,—,0 … 9.9,%,percentage cover of inland water for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2017,float64,—,0 … 30.43,%,percentage cover of bare soil and rocks for 2017,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2018,float64,—,0 … 36.29,%,percentage cover of deciduous woodland for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2018,float64,—,0 … 96.78,%,percentage cover of evergreen woodland for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2018,float64,—,0.24 … 100,%,percentage cover of grass and pasture for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2018,float64,—,0 … 99.39,%,percentage cover of medium scale vegetation (shrubs) for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2018,float64,—,0 … 90.06,%,percentage cover of crops for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_2018,float64,—,0 … 78.4,%,percentage cover of suburban and urban for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2018,float64,—,0 … 9.8,%,percentage cover of inland water for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2018,float64,—,0 … 26.09,%,percentage cover of bare soil and rocks for 2018,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2019,float64,—,0 … 38.69,%,percentage cover of deciduous woodland for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2019,float64,—,0 … 98.16,%,percentage cover of evergreen woodland for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2019,float64,—,0.01 … 100,%,percentage cover of grass and pasture for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2019,float64,—,0 … 99.78,%,percentage cover of medium scale vegetation (shrubs) for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2019,float64,—,0 … 91.28,%,percentage cover of crops for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_2019,float64,—,0 … 80.23,%,percentage cover of suburban and urban for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2019,float64,—,0 … 9.89,%,percentage cover of inland water for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2019,float64,—,0 … 30.85,%,percentage cover of bare soil and rocks for 2019,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2020,float64,—,0 … 36.78,%,percentage cover of deciduous woodland for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2020,float64,—,0 … 97.39,%,percentage cover of evergreen woodland for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2020,float64,—,0 … 100,%,percentage cover of grass and pasture for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2020,float64,—,0 … 99.96,%,percentage cover of medium scale vegetation (shrubs) for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2020,float64,—,0 … 88.02,%,percentage cover of crops for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_2020,float64,—,0 … 79.33,%,percentage cover of suburban and urban for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2020,float64,—,0 … 9.92,%,percentage cover of inland water for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2020,float64,—,0 … 30.34,%,percentage cover of bare soil and rocks for 2020,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2021,float64,—,0 … 37.01,%,percentage cover of deciduous woodland for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2021,float64,—,0 … 96.47,%,percentage cover of evergreen woodland for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2021,float64,—,0 … 100,%,percentage cover of grass and pasture for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2021,float64,—,0 … 99.87,%,percentage cover of medium scale vegetation (shrubs) for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2021,float64,—,0 … 87.61,%,percentage cover of crops for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
